param_type,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,OUTPUTS,OUTCOME,FAIRNESS
param,status_of_existing_checking_account,duration_in_full_years,credit_history,loan_purpose,credit_amount_range,savings_account,present_employment_since,installment_rate,personal_status_and_sex,other_debtors_or_guarantors,present_residence_since,property,age_range,other_installment_plans,housing,existing_credits_at_this_bank,job,num_liable,telephone,is_foreign_worker,credit_label,OUTCOME,FAIRNESS
0,A11,0,A34,A43,<= 3000,A65,A75,4,A93,A101,4,A121,> 60,A143,A152,2,A173,1,A192,A201,1,PASS,FAIR
1,A12,4,A32,A43,<= 6000,A61,A73,2,A92,A101,2,A121,<= 30,A143,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
2,A14,1,A34,A46,<= 3000,A61,A74,2,A93,A101,3,A121,<= 60,A143,A152,1,A172,2,A191,A201,1,PASS,UNFAIR
3,A11,3,A32,A42,<= 9000,A61,A74,2,A93,A103,4,A122,<= 60,A143,A153,1,A173,2,A191,A201,1,PASS,UNFAIR
4,A11,2,A33,A40,<= 6000,A61,A73,3,A93,A101,4,A124,<= 60,A143,A153,2,A173,2,A191,A201,2,FAIL,UNFAIR
5,A14,3,A32,A46,<= 12000,A65,A73,2,A93,A101,4,A124,<= 60,A143,A153,1,A172,2,A192,A201,1,PASS,FAIR
6,A14,2,A32,A42,<= 3000,A63,A75,3,A93,A101,4,A122,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,FAIR
7,A12,3,A32,A41,<= 9000,A61,A73,2,A93,A101,2,A123,<= 60,A143,A151,1,A174,1,A192,A201,1,PASS,UNFAIR
8,A14,1,A32,A43,<= 6000,A64,A74,2,A91,A101,4,A121,> 60,A143,A152,1,A172,1,A191,A201,1,PASS,FAIR
9,A12,2,A34,A40,<= 6000,A61,A71,4,A94,A101,2,A123,<= 30,A143,A152,2,A174,1,A191,A201,2,FAIL,UNFAIR
10,A12,1,A32,A40,<= 3000,A61,A72,3,A92,A101,1,A123,<= 30,A143,A151,1,A173,1,A191,A201,2,FAIL,UNFAIR
11,A11,4,A32,A49,<= 6000,A61,A72,3,A92,A101,4,A122,<= 30,A143,A151,1,A173,1,A191,A201,2,FAIL,UNFAIR
12,A12,1,A32,A43,<= 3000,A61,A73,1,A92,A101,1,A123,<= 30,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
13,A11,2,A34,A40,<= 3000,A61,A75,4,A93,A101,4,A123,> 60,A143,A152,2,A172,1,A191,A201,2,FAIL,UNFAIR
14,A11,1,A32,A40,<= 3000,A61,A73,2,A92,A101,4,A123,<= 30,A143,A151,1,A173,1,A191,A201,1,PASS,UNFAIR
15,A11,2,A32,A43,<= 3000,A62,A73,4,A92,A101,2,A123,<= 60,A143,A152,1,A172,1,A191,A201,2,FAIL,UNFAIR
16,A14,2,A34,A43,<= 3000,A65,A75,4,A93,A101,4,A122,<= 60,A143,A152,2,A173,1,A191,A201,1,PASS,FAIR
17,A11,2,A30,A49,<= 9000,A65,A72,2,A93,A101,3,A123,<= 30,A141,A152,3,A173,1,A191,A201,1,PASS,FAIR
18,A12,2,A32,A41,<= 15000,A61,A75,4,A92,A101,2,A124,<= 60,A143,A153,1,A174,1,A192,A201,2,FAIL,UNFAIR
19,A14,2,A32,A43,<= 6000,A63,A75,3,A93,A101,2,A123,<= 60,A143,A152,1,A173,2,A192,A201,1,PASS,FAIR
20,A14,0,A34,A40,<= 3000,A61,A73,4,A93,A101,4,A123,<= 60,A143,A152,3,A173,1,A192,A201,1,PASS,UNFAIR
21,A11,0,A32,A43,<= 3000,A63,A73,2,A93,A101,3,A121,<= 60,A143,A151,1,A173,2,A191,A201,1,PASS,FAIR
22,A11,0,A34,A40,<= 3000,A61,A72,1,A93,A101,3,A121,<= 60,A143,A151,2,A172,2,A191,A202,1,PASS,FAIR
23,A12,1,A34,A41,<= 3000,A62,A72,3,A93,A101,4,A122,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
24,A14,0,A34,A42,<= 3000,A65,A73,2,A94,A101,1,A123,<= 30,A143,A152,2,A173,1,A191,A202,1,PASS,FAIR
25,A11,0,A32,A42,<= 3000,A61,A73,1,A93,A101,2,A121,<= 60,A141,A152,1,A172,1,A192,A201,1,PASS,UNFAIR
26,A14,0,A30,A43,<= 3000,A61,A75,4,A94,A101,4,A123,<= 60,A143,A152,1,A172,1,A191,A201,1,PASS,UNFAIR
27,A13,1,A31,A43,<= 3000,A64,A73,3,A92,A101,3,A121,<= 60,A143,A151,2,A173,1,A191,A201,1,PASS,FAIR
28,A12,0,A32,A43,<= 3000,A61,A73,3,A93,A103,2,A121,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
29,A11,5,A33,A49,<= 9000,A61,A75,3,A93,A101,4,A124,> 60,A143,A152,2,A173,1,A192,A201,2,FAIL,UNFAIR
30,A12,1,A32,A49,<= 3000,A64,A72,3,A94,A101,3,A121,<= 60,A141,A152,1,A173,1,A192,A201,1,PASS,FAIR
31,A11,2,A32,A42,<= 6000,A61,A73,2,A93,A101,2,A123,<= 30,A142,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
32,A12,1,A32,A40,<= 6000,A62,A73,2,A93,A101,2,A123,<= 60,A143,A152,2,A173,1,A192,A201,1,PASS,UNFAIR
33,A14,1,A34,A49,<= 3000,A65,A75,4,A93,A101,4,A124,<= 60,A143,A151,1,A172,1,A191,A201,1,PASS,FAIR
34,A13,1,A32,A42,<= 3000,A61,A72,4,A92,A101,1,A122,<= 60,A141,A152,1,A174,1,A192,A201,1,PASS,UNFAIR
35,A12,3,A34,A43,<= 6000,A61,A72,4,A93,A101,2,A122,<= 30,A143,A152,2,A172,1,A191,A201,2,FAIL,UNFAIR
36,A14,4,A34,A46,<= 9000,A61,A73,1,A93,A101,3,A124,<= 60,A141,A153,1,A173,1,A192,A201,1,PASS,UNFAIR
37,A13,1,A32,A43,<= 3000,A61,A73,4,A93,A102,2,A121,<= 60,A142,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
38,A13,0,A32,A44,<= 3000,A61,A73,2,A93,A101,2,A123,<= 60,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
39,A12,0,A32,A43,<= 3000,A61,A73,4,A93,A101,3,A121,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
40,A14,2,A32,A43,<= 3000,A63,A75,4,A93,A101,2,A123,<= 60,A141,A152,1,A174,1,A191,A201,1,PASS,FAIR
41,A12,1,A32,A43,<= 3000,A63,A73,3,A91,A101,1,A123,<= 30,A143,A152,1,A173,1,A192,A201,1,PASS,FAIR
42,A12,1,A33,A45,<= 9000,A61,A73,2,A93,A101,4,A121,<= 60,A143,A152,1,A172,2,A192,A201,1,PASS,UNFAIR
43,A11,2,A34,A41,<= 9000,A62,A74,1,A94,A101,4,A123,<= 30,A143,A151,2,A173,1,A191,A201,1,PASS,UNFAIR
44,A11,4,A34,A41,<= 9000,A61,A75,4,A92,A101,4,A124,<= 60,A142,A153,2,A172,1,A191,A201,2,FAIL,UNFAIR
45,A14,0,A34,A40,<= 3000,A61,A72,4,A92,A101,4,A123,<= 60,A143,A152,2,A174,1,A191,A201,1,PASS,UNFAIR
46,A14,3,A32,A43,<= 3000,A63,A75,4,A93,A101,4,A123,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,FAIR
